date;tournament_id;prefecture;shop;format;placement;player;archetype
01 Feb 26;3958;Kanagawa;BOOKOFF　イオン橋本;City League (JP);1;まきし;mega lucario hariyama
01 Feb 26;3958;Kanagawa;BOOKOFF　イオン橋本;City League (JP);2;はなまる;dragapult mega starmie
01 Feb 26;3958;Kanagawa;BOOKOFF　イオン橋本;City League (JP);3;かと;mega lucario hariyama
01 Feb 26;3958;Kanagawa;BOOKOFF　イオン橋本;City League (JP);4;ひまじん;dragapult dusknoir
01 Feb 26;3958;Kanagawa;BOOKOFF　イオン橋本;City League (JP);5;ぷに;honchkrow porygon-z
01 Feb 26;3958;Kanagawa;BOOKOFF　イオン橋本;City League (JP);6;さと;honchkrow porygon-z
01 Feb 26;3958;Kanagawa;BOOKOFF　イオン橋本;City League (JP);7;くろたく;zoroark darmanitan
01 Feb 26;3958;Kanagawa;BOOKOFF　イオン橋本;City League (JP);8;しゅがー;ogerpon mega venusaur
01 Feb 26;3958;Kanagawa;BOOKOFF　イオン橋本;City League (JP);9;たじさん;meganium ogerpon
01 Feb 26;3958;Kanagawa;BOOKOFF　イオン橋本;City League (JP);10;いせかい;grimmsnarl munkidori
01 Feb 26;3958;Kanagawa;BOOKOFF　イオン橋本;City League (JP);11;てとら;bellibolt kilowattrel
01 Feb 26;3958;Kanagawa;BOOKOFF　イオン橋本;City League (JP);12;とだ;mega venusaur ogerpon
01 Feb 26;3958;Kanagawa;BOOKOFF　イオン橋本;City League (JP);13;タカハシ;mega starmie mega froslass
01 Feb 26;3958;Kanagawa;BOOKOFF　イオン橋本;City League (JP);14;祜狐;garchomp roserade
01 Feb 26;3958;Kanagawa;BOOKOFF　イオン橋本;City League (JP);15;きゃめ;zoroark pecharunt
01 Feb 26;3958;Kanagawa;BOOKOFF　イオン橋本;City League (JP);16;ばんばん;mega meganium ogerpon
01 Feb 26;3954;Kagawa;竜星の嵐　高松店;City League (JP);1;み;dragapult
01 Feb 26;3954;Kagawa;竜星の嵐　高松店;City League (JP);2;蜜柑;alakazam dudunsparce
01 Feb 26;3954;Kagawa;竜星の嵐　高松店;City League (JP);3;山山山;dragapult dusknoir
01 Feb 26;3954;Kagawa;竜星の嵐　高松店;City League (JP);4;バチコリK;spidops mewtwo
01 Feb 26;3954;Kagawa;竜星の嵐　高松店;City League (JP);5;いくら丼;dusknoir mega diancie
01 Feb 26;3954;Kagawa;竜星の嵐　高松店;City League (JP);6;よしあき;grimmsnarl munkidori
01 Feb 26;3954;Kagawa;竜星の嵐　高松店;City League (JP);7;もり;dipplin thwackey
01 Feb 26;3954;Kagawa;竜星の嵐　高松店;City League (JP);8;ついたぬ;mega charizard-mega-x mega charizard-mega-y
01 Feb 26;3954;Kagawa;竜星の嵐　高松店;City League (JP);9;だーしま;dragapult dusknoir
01 Feb 26;3954;Kagawa;竜星の嵐　高松店;City League (JP);10;ルカ;dragapult noctowl
01 Feb 26;3954;Kagawa;竜星の嵐　高松店;City League (JP);11;ノワール;mega lucario hariyama
01 Feb 26;3954;Kagawa;竜星の嵐　高松店;City League (JP);12;フルフル;dragapult noctowl
01 Feb 26;3954;Kagawa;竜星の嵐　高松店;City League (JP);13;カヲル;dragapult dusknoir
01 Feb 26;3954;Kagawa;竜星の嵐　高松店;City League (JP);14;ぽぷぞー;grimmsnarl froslass
01 Feb 26;3954;Kagawa;竜星の嵐　高松店;City League (JP);15;ほろう;mega lucario hariyama
01 Feb 26;3954;Kagawa;竜星の嵐　高松店;City League (JP);16;レッド;mega lucario hariyama
01 Feb 26;3953;Tōkyō;カードショップ竜星のPAO町田店;City League (JP);1;凛;mega diancie dusknoir
01 Feb 26;3953;Tōkyō;カードショップ竜星のPAO町田店;City League (JP);2;むねすけ;mega froslass mega starmie
01 Feb 26;3953;Tōkyō;カードショップ竜星のPAO町田店;City League (JP);3;たこやき;dragapult dusknoir
01 Feb 26;3953;Tōkyō;カードショップ竜星のPAO町田店;City League (JP);4;エスカルゴ;mega starmie dusknoir
01 Feb 26;3953;Tōkyō;カードショップ竜星のPAO町田店;City League (JP);5;ぽんきち;grimmsnarl froslass
01 Feb 26;3953;Tōkyō;カードショップ竜星のPAO町田店;City League (JP);6;アイビー;garchomp roserade
01 Feb 26;3953;Tōkyō;カードショップ竜星のPAO町田店;City League (JP);7;Sane;greninja dusknoir
01 Feb 26;3953;Tōkyō;カードショップ竜星のPAO町田店;City League (JP);8;もーちゃん;dragapult dusknoir
01 Feb 26;3953;Tōkyō;カードショップ竜星のPAO町田店;City League (JP);9;よっぴぃー;greninja dusknoir
01 Feb 26;3953;Tōkyō;カードショップ竜星のPAO町田店;City League (JP);10;こたろー;grimmsnarl mega froslass
01 Feb 26;3953;Tōkyō;カードショップ竜星のPAO町田店;City League (JP);11;ざわ;dragapult crobat
01 Feb 26;3953;Tōkyō;カードショップ竜星のPAO町田店;City League (JP);12;キロ;mega lucario hariyama
01 Feb 26;3953;Tōkyō;カードショップ竜星のPAO町田店;City League (JP);13;いろは;dragapult froslass
01 Feb 26;3953;Tōkyō;カードショップ竜星のPAO町田店;City League (JP);14;すずふぉい;mega sharpedo toxtricity
01 Feb 26;3953;Tōkyō;カードショップ竜星のPAO町田店;City League (JP);15;ユウシ;trevenant zacian-crowned
01 Feb 26;3951;Aichi;ブックオフ　西尾下町店;City League (JP);1;みなみ;mega lucario solrock
01 Feb 26;3951;Aichi;ブックオフ　西尾下町店;City League (JP);2;いもけんぴ;dragapult dusknoir
01 Feb 26;3951;Aichi;ブックオフ　西尾下町店;City League (JP);3;ニシダイ;mega lucario hariyama
01 Feb 26;3951;Aichi;ブックオフ　西尾下町店;City League (JP);4;ぺー;dipplin thwackey
01 Feb 26;3951;Aichi;ブックオフ　西尾下町店;City League (JP);5;袴谷村;barbaracle okidogi
01 Feb 26;3951;Aichi;ブックオフ　西尾下町店;City League (JP);6;じる;mega lucario hariyama
01 Feb 26;3951;Aichi;ブックオフ　西尾下町店;City League (JP);7;とぎや;mega venusaur ogerpon
01 Feb 26;3951;Aichi;ブックオフ　西尾下町店;City League (JP);8;おのでー;dragapult dusknoir
01 Feb 26;3951;Aichi;ブックオフ　西尾下町店;City League (JP);9;ヒスイ;mega sharpedo toxtricity
01 Feb 26;3951;Aichi;ブックオフ　西尾下町店;City League (JP);10;スペクター;mega lucario hariyama
01 Feb 26;3951;Aichi;ブックオフ　西尾下町店;City League (JP);11;生馬(イクマ);archaludon
01 Feb 26;3951;Aichi;ブックオフ　西尾下町店;City League (JP);12;ガクホウ;garchomp roserade
01 Feb 26;3951;Aichi;ブックオフ　西尾下町店;City League (JP);13;かつどん;honchkrow porygon-z
01 Feb 26;3951;Aichi;ブックオフ　西尾下町店;City League (JP);14;ゆう;mega venusaur ogerpon
01 Feb 26;3951;Aichi;ブックオフ　西尾下町店;City League (JP);15;はちのこ;mega lucario hariyama
01 Feb 26;3951;Aichi;ブックオフ　西尾下町店;City League (JP);16;ねぎ;dipplin thwackey
01 Feb 26;3950;Hiroshima;【CARDBOX】カードボックス　福山店;City League (JP);1;きんちゃん;mega lucario hariyama
01 Feb 26;3950;Hiroshima;【CARDBOX】カードボックス　福山店;City League (JP);2;にーがん;spidops mewtwo
01 Feb 26;3950;Hiroshima;【CARDBOX】カードボックス　福山店;City League (JP);3;もじゃ;dragapult crobat
01 Feb 26;3950;Hiroshima;【CARDBOX】カードボックス　福山店;City League (JP);4;アル;archaludon
01 Feb 26;3950;Hiroshima;【CARDBOX】カードボックス　福山店;City League (JP);5;スイレン;dragapult dusknoir
01 Feb 26;3950;Hiroshima;【CARDBOX】カードボックス　福山店;City League (JP);6;コータ;dragapult dusknoir
01 Feb 26;3950;Hiroshima;【CARDBOX】カードボックス　福山店;City League (JP);7;ほっしー;grimmsnarl froslass
01 Feb 26;3950;Hiroshima;【CARDBOX】カードボックス　福山店;City League (JP);8;kat;mega lucario solrock
01 Feb 26;3950;Hiroshima;【CARDBOX】カードボックス　福山店;City League (JP);9;あーか;mega lucario hariyama
01 Feb 26;3950;Hiroshima;【CARDBOX】カードボックス　福山店;City League (JP);10;ぼくくぼ;dragapult dusknoir
01 Feb 26;3950;Hiroshima;【CARDBOX】カードボックス　福山店;City League (JP);11;あーおーいぃ;dragapult blaziken
01 Feb 26;3950;Hiroshima;【CARDBOX】カードボックス　福山店;City League (JP);12;リョーマ;grimmsnarl froslass
01 Feb 26;3950;Hiroshima;【CARDBOX】カードボックス　福山店;City League (JP);13;カノンv;zoroark
01 Feb 26;3950;Hiroshima;【CARDBOX】カードボックス　福山店;City League (JP);14;カズー;mega venusaur ogerpon
01 Feb 26;3950;Hiroshima;【CARDBOX】カードボックス　福山店;City League (JP);15;ポケスミ;alakazam dudunsparce
01 Feb 26;3950;Hiroshima;【CARDBOX】カードボックス　福山店;City League (JP);16;ハチワレ;mega lucario hariyama
01 Feb 26;3949;Kyōto;カードボックス　京都ファミリー;City League (JP);1;れお;dragapult dusknoir
01 Feb 26;3949;Kyōto;カードボックス　京都ファミリー;City League (JP);2;メカ;dragapult meowth
01 Feb 26;3949;Kyōto;カードボックス　京都ファミリー;City League (JP);3;りっきー;mega lucario solrock
01 Feb 26;3949;Kyōto;カードボックス　京都ファミリー;City League (JP);4;つのの;flareon noctowl
01 Feb 26;3949;Kyōto;カードボックス　京都ファミリー;City League (JP);5;おすし;barbaracle okidogi
01 Feb 26;3949;Kyōto;カードボックス　京都ファミリー;City League (JP);6;ヒデタラメ;mega venusaur ogerpon
01 Feb 26;3949;Kyōto;カードボックス　京都ファミリー;City League (JP);7;かもかも;mega lucario solrock
01 Feb 26;3949;Kyōto;カードボックス　京都ファミリー;City League (JP);8;ミー;mega lucario hariyama
01 Feb 26;3949;Kyōto;カードボックス　京都ファミリー;City League (JP);9;たーしら;alakazam dudunsparce
01 Feb 26;3949;Kyōto;カードボックス　京都ファミリー;City League (JP);10;tani-ken;spidops mewtwo
01 Feb 26;3949;Kyōto;カードボックス　京都ファミリー;City League (JP);11;卵かけご飯;dragapult dusknoir
01 Feb 26;3949;Kyōto;カードボックス　京都ファミリー;City League (JP);12;フラー;mega lucario hariyama
01 Feb 26;3949;Kyōto;カードボックス　京都ファミリー;City League (JP);13;はるる;dragapult dusknoir
01 Feb 26;3949;Kyōto;カードボックス　京都ファミリー;City League (JP);14;フエココ;mega lucario hariyama
01 Feb 26;3949;Kyōto;カードボックス　京都ファミリー;City League (JP);15;ミッコロ;mega sharpedo toxtricity
01 Feb 26;3949;Kyōto;カードボックス　京都ファミリー;City League (JP);16;ピカC;mega starmie mega froslass
01 Feb 26;3948;Ōsaka;トイコンプ高槻店;City League (JP);1;らい;mega starmie mega froslass
01 Feb 26;3948;Ōsaka;トイコンプ高槻店;City League (JP);2;アキカゼ;garchomp roserade
01 Feb 26;3948;Ōsaka;トイコンプ高槻店;City League (JP);3;メガウーラオス;mega lucario hariyama
01 Feb 26;3948;Ōsaka;トイコンプ高槻店;City League (JP);4;Hi,ピルソー;honchkrow porygon2
01 Feb 26;3948;Ōsaka;トイコンプ高槻店;City League (JP);5;ヒロキ;dragapult blaziken
01 Feb 26;3948;Ōsaka;トイコンプ高槻店;City League (JP);6;オクタゴン;dragapult dusknoir
01 Feb 26;3948;Ōsaka;トイコンプ高槻店;City League (JP);7;snow;dragapult noctowl
01 Feb 26;3948;Ōsaka;トイコンプ高槻店;City League (JP);8;ジョン;archaludon
01 Feb 26;3948;Ōsaka;トイコンプ高槻店;City League (JP);9;うちはリツハ;mega lucario hariyama
01 Feb 26;3948;Ōsaka;トイコンプ高槻店;City League (JP);10;あさきんた;dragapult blaziken
01 Feb 26;3948;Ōsaka;トイコンプ高槻店;City League (JP);11;僕チワワ;alakazam mega diancie
01 Feb 26;3948;Ōsaka;トイコンプ高槻店;City League (JP);12;カグーラ;archaludon
01 Feb 26;3948;Ōsaka;トイコンプ高槻店;City League (JP);13;アツシ;dipplin thwackey
01 Feb 26;3948;Ōsaka;トイコンプ高槻店;City League (JP);14;ミツヒロ;spidops
01 Feb 26;3948;Ōsaka;トイコンプ高槻店;City League (JP);15;せな;dragapult
01 Feb 26;3948;Ōsaka;トイコンプ高槻店;City League (JP);16;いけだ;mega lucario hariyama
01 Feb 26;3947;Fukui;【CARDBOX】Super KaBoS + GEO 鯖江店;City League (JP);1;チュッパザウルス;grimmsnarl munkidori
01 Feb 26;3947;Fukui;【CARDBOX】Super KaBoS + GEO 鯖江店;City League (JP);2;中トロ;dragapult dusknoir
01 Feb 26;3947;Fukui;【CARDBOX】Super KaBoS + GEO 鯖江店;City League (JP);3;あきら;mega lucario hariyama
01 Feb 26;3947;Fukui;【CARDBOX】Super KaBoS + GEO 鯖江店;City League (JP);4;あさ;dragapult dusknoir
01 Feb 26;3947;Fukui;【CARDBOX】Super KaBoS + GEO 鯖江店;City League (JP);5;RYO;honchkrow porygon-z
01 Feb 26;3947;Fukui;【CARDBOX】Super KaBoS + GEO 鯖江店;City League (JP);6;ジリコ;alakazam dudunsparce
01 Feb 26;3947;Fukui;【CARDBOX】Super KaBoS + GEO 鯖江店;City League (JP);7;ニンジャマイスター;greninja noctowl
01 Feb 26;3947;Fukui;【CARDBOX】Super KaBoS + GEO 鯖江店;City League (JP);8;デビルマン;barbaracle okidogi
01 Feb 26;3946;Miyagi;シーガル　泉中央店;City League (JP);1;PandRA;mega venusaur ogerpon
01 Feb 26;3946;Miyagi;シーガル　泉中央店;City League (JP);2;矢澤ユート;mega lucario hariyama
01 Feb 26;3946;Miyagi;シーガル　泉中央店;City League (JP);3;ももこ;garchomp roserade
01 Feb 26;3946;Miyagi;シーガル　泉中央店;City League (JP);4;たいせい;archaludon
01 Feb 26;3946;Miyagi;シーガル　泉中央店;City League (JP);5;イワンコフ;grimmsnarl froslass
01 Feb 26;3946;Miyagi;シーガル　泉中央店;City League (JP);6;まりももん;grimmsnarl munkidori
01 Feb 26;3946;Miyagi;シーガル　泉中央店;City League (JP);7;トウキ;garchomp roserade
01 Feb 26;3946;Miyagi;シーガル　泉中央店;City League (JP);8;Yamashi;mega starmie mega froslass
01 Feb 26;3946;Miyagi;シーガル　泉中央店;City League (JP);9;マーシー;grimmsnarl froslass
01 Feb 26;3946;Miyagi;シーガル　泉中央店;City League (JP);10;TK;mega starmie mega froslass
01 Feb 26;3946;Miyagi;シーガル　泉中央店;City League (JP);11;プクやん;mega lucario hariyama
01 Feb 26;3946;Miyagi;シーガル　泉中央店;City League (JP);12;やま;ceruledge
01 Feb 26;3946;Miyagi;シーガル　泉中央店;City League (JP);13;ひろき;mega lucario hariyama
01 Feb 26;3946;Miyagi;シーガル　泉中央店;City League (JP);14;だいき;metagross slowking
01 Feb 26;3946;Miyagi;シーガル　泉中央店;City League (JP);15;ちばほー;mega diancie dusknoir
01 Feb 26;3946;Miyagi;シーガル　泉中央店;City League (JP);16;R;dragapult dusknoir
01 Feb 26;3945;Miyazaki;カードショップ＠ほ～む。宮崎店;City League (JP);1;とみー;alakazam dudunsparce
01 Feb 26;3945;Miyazaki;カードショップ＠ほ～む。宮崎店;City League (JP);2;あおにん;grimmsnarl froslass
01 Feb 26;3945;Miyazaki;カードショップ＠ほ～む。宮崎店;City League (JP);3;れお;mega starmie mega froslass
01 Feb 26;3945;Miyazaki;カードショップ＠ほ～む。宮崎店;City League (JP);4;シンジ;typhlosion
01 Feb 26;3945;Miyazaki;カードショップ＠ほ～む。宮崎店;City League (JP);5;ヤマ;dragapult
01 Feb 26;3945;Miyazaki;カードショップ＠ほ～む。宮崎店;City League (JP);6;チベ;okidogi barbaracle
01 Feb 26;3945;Miyazaki;カードショップ＠ほ～む。宮崎店;City League (JP);7;りき;honchkrow porygon-z
01 Feb 26;3945;Miyazaki;カードショップ＠ほ～む。宮崎店;City League (JP);8;こねP;hydrapple ogerpon
01 Feb 26;3945;Miyazaki;カードショップ＠ほ～む。宮崎店;City League (JP);9;たかーどん;dragapult jellicent
01 Feb 26;3945;Miyazaki;カードショップ＠ほ～む。宮崎店;City League (JP);10;まりお;mega lucario solrock
01 Feb 26;3945;Miyazaki;カードショップ＠ほ～む。宮崎店;City League (JP);11;ゆらゆら;zoroark darmanitan
01 Feb 26;3945;Miyazaki;カードショップ＠ほ～む。宮崎店;City League (JP);12;アキ;metagross
01 Feb 26;3945;Miyazaki;カードショップ＠ほ～む。宮崎店;City League (JP);13;ビリビリ熊猫;archaludon
01 Feb 26;3945;Miyazaki;カードショップ＠ほ～む。宮崎店;City League (JP);14;まっさ;mega froslass mega starmie
01 Feb 26;3945;Miyazaki;カードショップ＠ほ～む。宮崎店;City League (JP);15;てって;dragapult dusknoir
01 Feb 26;3945;Miyazaki;カードショップ＠ほ～む。宮崎店;City League (JP);16;ラッキー小林;zacian-crowned latias
01 Feb 26;3944;Okinawa;カードスタジアム小禄店;City League (JP);1;わ〜;zoroark darmanitan
01 Feb 26;3944;Okinawa;カードスタジアム小禄店;City League (JP);2;ﾁｬｰｼｭｰ;spidops mewtwo
01 Feb 26;3944;Okinawa;カードスタジアム小禄店;City League (JP);3;マチス;archaludon
01 Feb 26;3944;Okinawa;カードスタジアム小禄店;City League (JP);4;むーねー;jellicent dusknoir
01 Feb 26;3944;Okinawa;カードスタジアム小禄店;City League (JP);5;よーなー;rillaboom dipplin
01 Feb 26;3944;Okinawa;カードスタジアム小禄店;City League (JP);6;むさのまる;dipplin thwackey
01 Feb 26;3944;Okinawa;カードスタジアム小禄店;City League (JP);7;710（なっと）;archaludon zoroark
01 Feb 26;3944;Okinawa;カードスタジアム小禄店;City League (JP);8;エンダーベア;dragapult jellicent
01 Feb 26;3944;Okinawa;カードスタジアム小禄店;City League (JP);9;なお;mega lucario solrock
01 Feb 26;3944;Okinawa;カードスタジアム小禄店;City League (JP);10;ゆうわ;alakazam dudunsparce
01 Feb 26;3944;Okinawa;カードスタジアム小禄店;City League (JP);11;ろび;ogerpon mega venusaur
01 Feb 26;3944;Okinawa;カードスタジアム小禄店;City League (JP);12;いりーだ;mega kangaskhan mega absol
01 Feb 26;3944;Okinawa;カードスタジアム小禄店;City League (JP);13;りょうちゃん;garchomp roserade
01 Feb 26;3944;Okinawa;カードスタジアム小禄店;City League (JP);14;りょう;garchomp roserade
01 Feb 26;3944;Okinawa;カードスタジアム小禄店;City League (JP);15;ようかん;metagross empoleon
01 Feb 26;3944;Okinawa;カードスタジアム小禄店;City League (JP);16;ミニオン;mega starmie mega froslass
01 Feb 26;3943;Aichi;王の洞窟jr.　一宮２２号バイパス店;City League (JP);1;みらん;dragapult dusknoir
01 Feb 26;3943;Aichi;王の洞窟jr.　一宮２２号バイパス店;City League (JP);2;SP;mega starmie dusknoir
01 Feb 26;3943;Aichi;王の洞窟jr.　一宮２２号バイパス店;City League (JP);3;チョビチョビ;metagross empoleon
01 Feb 26;3943;Aichi;王の洞窟jr.　一宮２２号バイパス店;City League (JP);4;カイリュー;dipplin rillaboom
01 Feb 26;3943;Aichi;王の洞窟jr.　一宮２２号バイパス店;City League (JP);5;ヤマ;alakazam dudunsparce
01 Feb 26;3943;Aichi;王の洞窟jr.　一宮２２号バイパス店;City League (JP);6;プレミおじさん;metagross empoleon
01 Feb 26;3943;Aichi;王の洞窟jr.　一宮２２号バイパス店;City League (JP);7;しもけん;dipplin thwackey
01 Feb 26;3943;Aichi;王の洞窟jr.　一宮２２号バイパス店;City League (JP);8;ショウ;thwackey dipplin
01 Feb 26;3943;Aichi;王の洞窟jr.　一宮２２号バイパス店;City League (JP);9;リーパー;alakazam dudunsparce
01 Feb 26;3943;Aichi;王の洞窟jr.　一宮２２号バイパス店;City League (JP);10;くっさー;mega lucario hariyama
01 Feb 26;3943;Aichi;王の洞窟jr.　一宮２２号バイパス店;City League (JP);11;オッティ;garchomp roserade
01 Feb 26;3943;Aichi;王の洞窟jr.　一宮２２号バイパス店;City League (JP);12;こいこい;honchkrow porygon-z
01 Feb 26;3943;Aichi;王の洞窟jr.　一宮２２号バイパス店;City League (JP);13;ドラエモン;mega diancie dusknoir
01 Feb 26;3943;Aichi;王の洞窟jr.　一宮２２号バイパス店;City League (JP);14;アイーん;dragapult meowth
01 Feb 26;3943;Aichi;王の洞窟jr.　一宮２２号バイパス店;City League (JP);15;ノイ;mega starmie dusknoir
01 Feb 26;3943;Aichi;王の洞窟jr.　一宮２２号バイパス店;City League (JP);16;狼月;dipplin rillaboom
01 Feb 26;3942;Aichi;三洋堂書店　乙川店;City League (JP);1;帽子;grimmsnarl froslass
01 Feb 26;3942;Aichi;三洋堂書店　乙川店;City League (JP);2;あすから;zoroark darmanitan
01 Feb 26;3942;Aichi;三洋堂書店　乙川店;City League (JP);3;のっち;dragapult dusknoir
01 Feb 26;3942;Aichi;三洋堂書店　乙川店;City League (JP);4;マサキ;mega lucario solrock
01 Feb 26;3942;Aichi;三洋堂書店　乙川店;City League (JP);5;カビゴン;alakazam dudunsparce
01 Feb 26;3942;Aichi;三洋堂書店　乙川店;City League (JP);6;クロナ;slowking
01 Feb 26;3942;Aichi;三洋堂書店　乙川店;City League (JP);7;しいら;dragapult dusknoir
01 Feb 26;3942;Aichi;三洋堂書店　乙川店;City League (JP);8;ライカ;spidops crobat
01 Feb 26;3942;Aichi;三洋堂書店　乙川店;City League (JP);9;トシ;spidops mewtwo
01 Feb 26;3942;Aichi;三洋堂書店　乙川店;City League (JP);10;たくや;honchkrow porygon-z
01 Feb 26;3942;Aichi;三洋堂書店　乙川店;City League (JP);11;じろう;mega charizard-mega-x oricorio
01 Feb 26;3942;Aichi;三洋堂書店　乙川店;City League (JP);12;ぴど;greninja mega starmie
01 Feb 26;3942;Aichi;三洋堂書店　乙川店;City League (JP);13;シーモ;grimmsnarl mega froslass
01 Feb 26;3942;Aichi;三洋堂書店　乙川店;City League (JP);14;ギアル;mega lucario hariyama
01 Feb 26;3942;Aichi;三洋堂書店　乙川店;City League (JP);15;ひろぽん;mega lucario hariyama
01 Feb 26;3942;Aichi;三洋堂書店　乙川店;City League (JP);16;ぼんちゃん;mega lucario hariyama
01 Feb 26;3941;Kanagawa;ブックオフ港北綱島西店;City League (JP);1;りんふぃあ;jellicent dusknoir
01 Feb 26;3941;Kanagawa;ブックオフ港北綱島西店;City League (JP);2;あいあーげ;grimmsnarl froslass
