meta;archetype;card_name;card_identifier;total_count;max_count;deck_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url
City League;Aegislash Genesect;Genesect ex;BLK_67;4;2;2;2;100,0;BLK;;67;Double Rare;MBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_067_R_EN_LG.png
City League;Aegislash Genesect;Honedge;M3_55;8;4;2;2;100,0;M3;;55;Common;MBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_55_R_JP_LG.png
City League;Aegislash Genesect;Aegislash;M3_57;8;4;2;2;100,0;M3;;57;Uncommon;MStage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_57_R_JP_LG.png
City League;Aegislash Genesect;Doublade;M3_56;8;4;2;2;100,0;M3;;56;Common;MStage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_56_R_JP_LG.png
City League;Aegislash Genesect;Meowth ex;M3_61;1;1;1;2;50,0;M3;;61;Double Rare;CBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_61_R_JP_LG.png
City League;Aegislash Genesect;Fighting Energy;SVE_22;14;7;2;2;100,0;SVE;;22;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_022_R_EN_LG.png
City League;Aegislash Genesect;Buddy-Buddy Poffin;PRE_101;5;3;2;2;100,0;PRE;;101;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_101_R_EN_LG.png
City League;Aegislash Genesect;Fighting Gong;ASC_187;8;4;2;2;100,0;ASC;;187;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_187_R_EN_LG.png
City League;Aegislash Genesect;Poké Pad;ASC_198;8;4;2;2;100,0;ASC;;198;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_198_R_EN_LG.png
City League;Aegislash Genesect;Max Rod;PRE_116;1;1;1;2;50,0;PRE;;116;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_116_R_EN_LG.png
City League;Aegislash Genesect;Night Stretcher;SFA_61;2;2;1;2;50,0;SFA;;61;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_061_R_EN_LG.png
City League;Aegislash Genesect;Sacred Ash;DRI_168;1;1;1;2;50,0;DRI;;168;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_168_R_EN_LG.png
City League;Aegislash Genesect;Switch;MEG_130;1;1;1;2;50,0;MEG;;130;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_130_R_EN_LG.png
City League;Aegislash Genesect;Ultra Ball;ASC_213;3;3;1;2;50,0;ASC;;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png
City League;Aegislash Genesect;Ignition Energy;WHT_86;7;4;2;2;100,0;WHT;;86;Uncommon;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_086_R_EN_LG.png
City League;Aegislash Genesect;Team Rocket's Watchtower;ASC_210;2;2;1;2;50,0;ASC;;210;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_210_R_EN_LG.png
City League;Aegislash Genesect;Boss's Orders;ASC_183;2;1;2;2;100,0;ASC;;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png
City League;Aegislash Genesect;Brock's Scouting;JTG_146;3;2;2;2;100,0;JTG;;146;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_146_R_EN_LG.png
City League;Aegislash Genesect;Dawn;PFL_87;4;3;2;2;100,0;PFL;;87;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_087_R_EN_LG.png
City League;Aegislash Genesect;Hilda;WHT_84;6;3;2;2;100,0;WHT;;84;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_084_R_EN_LG.png
City League;Aegislash Genesect;Lillie's Determination;ASC_192;5;3;2;2;100,0;ASC;;192;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png
City League;Aegislash Genesect;Hassel;TWM_151;1;1;1;2;50,0;TWM;;151;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_151_R_EN_LG.png
City League;Aegislash Genesect;Lana's Aid;TWM_155;1;1;1;2;50,0;TWM;;155;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_155_R_EN_LG.png
City League;Aegislash Genesect;Morty's Conviction;TEF_155;3;3;1;2;50,0;TEF;;155;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_155_R_EN_LG.png
City League;Aegislash Genesect;Air Balloon;ASC_181;4;2;2;2;100,0;ASC;;181;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_181_R_EN_LG.png
City League;Aegislash Metagross;Latias ex;SSP_76;2;1;2;2;100,0;SSP;;76;Double Rare;PBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_076_R_EN_LG.png
City League;Aegislash Metagross;Fezandipiti ex;SFA_38;1;1;1;2;50,0;SFA;;38;Double Rare;DBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_038_R_EN_LG.png
City League;Aegislash Metagross;Genesect ex;BLK_67;6;3;2;2;100,0;BLK;;67;Double Rare;MBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BLK/BLK_067_R_EN_LG.png
City League;Aegislash Metagross;Honedge;M3_55;8;4;2;2;100,0;M3;;55;Common;MBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_55_R_JP_LG.png
City League;Aegislash Metagross;Mega Skarmory ex;M3_54;2;1;2;2;100,0;M3;;54;Double Rare;MBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_54_R_JP_LG.png
City League;Aegislash Metagross;Steven's Beldum;DRI_143;5;3;2;2;100,0;DRI;;143;Common;MBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_143_R_EN_LG.png
City League;Aegislash Metagross;Aegislash;M3_57;8;4;2;2;100,0;M3;;57;Uncommon;MStage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_57_R_JP_LG.png
City League;Aegislash Metagross;Doublade;M3_56;8;4;2;2;100,0;M3;;56;Common;MStage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_56_R_JP_LG.png
City League;Aegislash Metagross;Steven's Metagross ex;DRI_145;4;2;2;2;100,0;DRI;;145;Double Rare;MStage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_145_R_EN_LG.png
City League;Aegislash Metagross;Steven's Metang;DRI_144;4;2;2;2;100,0;DRI;;144;Uncommon;MStage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_144_R_EN_LG.png
City League;Aegislash Metagross;Metal Energy;SVE_24;10;5;2;2;100,0;SVE;;24;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_024_R_EN_LG.png
City League;Aegislash Metagross;Psychic Energy;SVE_21;10;5;2;2;100,0;SVE;;21;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_021_R_EN_LG.png
City League;Aegislash Metagross;Buddy-Buddy Poffin;PRE_101;8;4;2;2;100,0;PRE;;101;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_101_R_EN_LG.png
City League;Aegislash Metagross;Energy Recycler;BST_124;2;1;2;2;100,0;BST;;124;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BST/BST_124_R_EN_LG.png
City League;Aegislash Metagross;Max Rod;PRE_116;2;1;2;2;100,0;PRE;;116;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_116_R_EN_LG.png
City League;Aegislash Metagross;Night Stretcher;SFA_61;2;1;2;2;100,0;SFA;;61;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_061_R_EN_LG.png
City League;Aegislash Metagross;Poké Pad;ASC_198;6;3;2;2;100,0;ASC;;198;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_198_R_EN_LG.png
City League;Aegislash Metagross;Rare Candy;MEG_125;4;2;2;2;100,0;MEG;;125;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_125_R_EN_LG.png
City League;Aegislash Metagross;Ultra Ball;ASC_213;4;2;2;2;100,0;ASC;;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png
City League;Aegislash Metagross;Battle Cage;PFL_85;1;1;1;2;50,0;PFL;;85;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_085_R_EN_LG.png
City League;Aegislash Metagross;Boss's Orders;ASC_183;4;2;2;2;100,0;ASC;;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png
City League;Aegislash Metagross;Cyrano;SSP_170;2;1;2;2;100,0;SSP;;170;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_170_R_EN_LG.png
City League;Aegislash Metagross;Judge;SVI_176;2;1;2;2;100,0;SVI;;176;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVI/SVI_176_R_EN_LG.png
City League;Aegislash Metagross;Lillie's Determination;ASC_192;7;4;2;2;100,0;ASC;;192;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png
City League;Aegislash Metagross;Brock's Scouting;JTG_146;2;2;1;2;50,0;JTG;;146;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_146_R_EN_LG.png
City League;Aegislash Metagross;Dawn;PFL_87;1;1;1;2;50,0;PFL;;87;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_087_R_EN_LG.png
City League;Aegislash Metagross;Lana's Aid;TWM_155;1;1;1;2;50,0;TWM;;155;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_155_R_EN_LG.png
City League;Aegislash Metagross;Team Rocket's Petrel;ASC_207;3;3;1;2;50,0;ASC;;207;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_207_R_EN_LG.png
City League;Aegislash Metagross;Air Balloon;ASC_181;1;1;1;2;50,0;ASC;;181;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_181_R_EN_LG.png
City League;Alakazam Dragapult;Shaymin;DRI_10;6;1;6;6;100,0;DRI;;10;Uncommon;GBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_010_R_EN_LG.png
City League;Alakazam Dragapult;Budew;ASC_16;1;1;1;6;16,7;ASC;;16;Common;GBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_016_R_EN_LG.png
City League;Alakazam Dragapult;Psyduck;ASC_39;6;1;6;6;100,0;ASC;;39;Common;WBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_039_R_EN_LG.png
City League;Alakazam Dragapult;Abra;MEG_54;24;4;6;6;100,0;MEG;;54;Common;PBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_054_R_EN_LG.png
City League;Alakazam Dragapult;Latias ex;SSP_76;6;1;6;6;100,0;SSP;;76;Double Rare;PBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_076_R_EN_LG.png
City League;Alakazam Dragapult;Frillish;WHT_44;4;1;4;6;66,7;WHT;;44;Common;PBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_044_R_EN_LG.png
City League;Alakazam Dragapult;Munkidori;TWM_95;1;1;1;6;16,7;TWM;;95;Rare;PBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_095_R_EN_LG.png
City League;Alakazam Dragapult;Alakazam;MEG_56;19;3;6;6;100,0;MEG;;56;Rare;PStage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_056_R_EN_LG.png
City League;Alakazam Dragapult;Kadabra;MEG_55;18;3;6;6;100,0;MEG;;55;Uncommon;PStage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_055_R_EN_LG.png
City League;Alakazam Dragapult;Fezandipiti ex;ASC_142;6;1;6;6;100,0;ASC;;142;Double Rare;DBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png
City League;Alakazam Dragapult;Dreepy;TWM_128;18;3;6;6;100,0;TWM;;128;Common;NBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_128_R_EN_LG.png
City League;Alakazam Dragapult;Dragapult ex;TWM_130;12;2;6;6;100,0;TWM;;130;Double Rare;NStage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_130_R_EN_LG.png
City League;Alakazam Dragapult;Drakloak;TWM_129;18;3;6;6;100,0;TWM;;129;Common;NStage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_129_R_EN_LG.png
City League;Alakazam Dragapult;Fire Energy;SVE_18;6;1;6;6;100,0;SVE;;18;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_018_R_EN_LG.png
City League;Alakazam Dragapult;Psychic Energy;SVE_21;6;1;6;6;100,0;SVE;;21;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_021_R_EN_LG.png
City League;Alakazam Dragapult;Darkness Energy;SVE_23;1;1;1;6;16,7;SVE;;23;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_023_R_EN_LG.png
City League;Alakazam Dragapult;Buddy-Buddy Poffin;PRE_101;24;4;6;6;100,0;PRE;;101;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_101_R_EN_LG.png
City League;Alakazam Dragapult;Night Stretcher;SFA_61;12;2;6;6;100,0;SFA;;61;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_061_R_EN_LG.png
City League;Alakazam Dragapult;Poké Pad;ASC_198;24;4;6;6;100,0;ASC;;198;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_198_R_EN_LG.png
City League;Alakazam Dragapult;Rare Candy;MEG_125;24;4;6;6;100,0;MEG;;125;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_125_R_EN_LG.png
City League;Alakazam Dragapult;Tool Scrapper;ASC_212;3;1;3;6;50,0;ASC;;212;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_212_R_EN_LG.png
City League;Alakazam Dragapult;Sacred Ash;DRI_168;1;1;1;6;16,7;DRI;;168;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_168_R_EN_LG.png
City League;Alakazam Dragapult;Super Potion;JTG_158;1;1;1;6;16,7;JTG;;158;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_158_R_EN_LG.png
City League;Alakazam Dragapult;Switch;MEG_130;1;1;1;6;16,7;MEG;;130;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_130_R_EN_LG.png
City League;Alakazam Dragapult;Neo Upper Energy;TEF_162;6;1;6;6;100,0;TEF;;162;Ultra Rare;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_162_R_EN_LG.png
City League;Alakazam Dragapult;Telepath Psychic Energy;M3_79;24;4;6;6;100,0;M3;;79;Rare;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpc/M3/M3_79_R_JP_LG.png
City League;Alakazam Dragapult;Jamming Tower;TWM_153;5;2;4;6;66,7;TWM;;153;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_153_R_EN_LG.png
City League;Alakazam Dragapult;Team Rocket's Watchtower;ASC_210;5;2;4;6;66,7;ASC;;210;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_210_R_EN_LG.png
City League;Alakazam Dragapult;Battle Cage;PFL_85;5;3;3;6;50,0;PFL;;85;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_085_R_EN_LG.png
City League;Alakazam Dragapult;Boss's Orders;ASC_183;18;3;6;6;100,0;ASC;;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png
City League;Alakazam Dragapult;Dawn;PFL_87;24;4;6;6;100,0;PFL;;87;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_087_R_EN_LG.png
City League;Alakazam Dragapult;Hilda;WHT_84;24;4;6;6;100,0;WHT;;84;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_084_R_EN_LG.png
